price,suburb,region,house_type,bedrooms,bathrooms,floor_area,land_size,furnished,payment_terms,agent_name,agency_name,listing_url,scraped_date,has_pool,has_solar,has_borehole,has_garage,has_garden,has_security,has_inverter,has_generator,amenities_count,missing_suburb,missing_region,location_issue,price_per_sqm_floor,price_per_hectare,price_per_bed,price_per_bath,size_ratio,value_density,amenity_score,energy_score,maintenance_burden,modern_amenities,bed_quality,bath_ratio,land_efficiency,segment,data_quality_score
300000.0,Matsheumhlope,Bulawayo East,7 Bedroom House,7.0,3.0,600.0,4000.0,False,,Yeukai Chirodza,Rawson Properties Harare,https://www.property.co.zw/for-sale/houses-rws223309,2026-04-07,False,True,True,True,True,False,False,False,4,0,0,0,500.0,750000.0,42857.142857142855,100000.0,0.15,0.002,4,1,0,2,0.011666666666666667,0.42857142857142855,0.15,Premium,6
155000.0,Greendale,Harare East,3 Bedroom Townhouse Complex,3.0,3.0,207.0,500.0,False,,simbarashe mupfekeri,Pam Golding Properties,https://www.property.co.zw/for-sale/townhouses-pgp228785,2026-04-07,False,False,True,False,True,True,False,False,3,0,0,0,748.792270531401,3100000.0,51666.666666666664,51666.666666666664,0.414,0.0013354838709677419,3,0,1,1,0.014492753623188406,1.0,0.414,Mid,6
2000000.0,Borrowdale Brooke,Harare North,4 Bedroom House,4.0,4.0,500.0,3605.0,False,,Ami Tanner,Clark Properties,https://www.property.co.zw/for-sale/houses-clrp223872,2026-04-07,True,False,True,True,True,True,True,False,6,0,0,0,4000.0,5547850.208044383,500000.0,500000.0,0.13869625520110956,0.00025,6,1,1,3,0.008,1.0,0.13869625520110956,Luxury,6
160000.0,Burnside,Bulawayo East,4 Bedroom House,4.0,1.0,600.0,4000.0,False,,,Bechak Real estate,https://www.property.co.zw/for-sale/houses-brep242670,2026-04-07,True,False,True,True,True,False,False,False,4,0,0,0,266.6666666666667,400000.0,40000.0,160000.0,0.15,0.00375,4,0,0,2,0.006666666666666667,0.25,0.15,Mid,6
90000.0,Msasa Park,Harare South,3 Bedroom House,3.0,2.0,430.0,180.0,False,,Zandile Moyo,Seeff Zimbabwe,https://www.property.co.zw/for-sale/houses-sef244050,2026-04-07,False,False,False,False,True,True,False,False,2,0,0,0,209.30232558139534,5000000.0,30000.0,45000.0,2.388888888888889,0.0047777777777777775,2,0,1,0,0.0069767441860465115,0.6666666666666666,2.388888888888889,Budget,6
325000.0,Helensvale,Harare North,6 Bedroom House,6.0,1.0,500.0,2500.0,False,,Tendai Muchaka,Legacy Real Estate,https://www.property.co.zw/for-sale/houses-leg223973,2026-04-07,False,False,True,True,True,False,False,False,3,0,0,0,650.0,1300000.0,54166.666666666664,325000.0,0.2,0.0015384615384615385,3,0,0,1,0.012,0.16666666666666666,0.2,Premium,6
140000.0,Sandton Park,Harare West,4 Bedroom House,4.0,2.0,800.0,800.0,False,,Tinashe Gwandu,Sky Ryan Properties,https://www.property.co.zw/for-sale/houses-syr235183,2026-04-07,False,True,True,True,True,False,False,False,4,0,0,0,175.0,1750000.0,35000.0,70000.0,1.0,0.005714285714285714,4,1,0,2,0.005,0.5,1.0,Mid,6
700000.0,Borrowdale Brooke,Harare North,4 Bedroom House,4.0,3.0,1300.0,1300.0,False,,Ebenezer Vhoko,Matrix Realty,https://www.property.co.zw/for-sale/houses-mtx241861,2026-04-07,False,True,True,True,True,True,False,False,5,0,0,0,538.4615384615385,5384615.384615384,175000.0,233333.33333333334,1.0,0.0018571428571428571,5,1,1,2,0.003076923076923077,0.75,1.0,Luxury,6
430000.0,Highlands,Harare North,5 Bedroom Townhouse Complex,5.0,3.0,200.0,500.0,False,,Rebecca Nguni,Robert Root,https://www.property.co.zw/for-sale/townhouses-rrt230357,2026-04-07,False,False,True,False,True,True,False,False,3,0,0,0,2150.0,8600000.0,86000.0,143333.33333333334,0.4,0.00046511627906976747,3,0,1,1,0.025,0.6,0.4,Luxury,6
550000.0,Brookview,Harare North,8 Bedroom House,8.0,8.0,1000.0,4600.0,False,,Admire Mukwidza,PropertyBox Real Estate,https://www.property.co.zw/for-sale/houses-pbox244060,2026-04-07,False,False,True,True,True,True,False,False,4,0,0,0,550.0,1195652.1739130435,68750.0,68750.0,0.21739130434782608,0.0018181818181818182,4,0,1,1,0.008,1.0,0.21739130434782608,Luxury,6
290000.0,Shawasha Hills,Harare North,5 Bedroom House,5.0,3.0,400.0,3300.0,False,,Brenda Sengwayo,Seeff Zimbabwe,https://www.property.co.zw/for-sale/houses-sef232928,2026-04-07,False,False,False,True,True,True,False,False,3,0,0,0,725.0,878787.8787878788,58000.0,96666.66666666667,0.12121212121212122,0.001379310344827586,3,0,1,0,0.0125,0.6,0.12121212121212122,Premium,6
395000.0,Highlands,Harare North,4 Bedroom Townhouse Complex,4.0,4.0,400.0,500.0,False,,Florence Sigauke,Guest and Tanner Real Estate,https://www.property.co.zw/for-sale/townhouses-gat229161,2026-04-07,False,True,True,True,True,True,False,False,5,0,0,0,987.5,7900000.0,98750.0,98750.0,0.8,0.0010126582278481013,5,1,1,2,0.01,1.0,0.8,Premium,6
597000.0,Alexandra Park,Harare North,4 Bedroom House,4.0,2.0,300.0,2644.0,False,,Kundai Masenda,Pam Golding Properties,https://www.property.co.zw/for-sale/houses-pgp237799,2026-04-07,True,False,True,False,True,True,False,False,4,0,0,0,1990.0,2257942.5113464445,149250.0,298500.0,0.11346444780635401,0.0005025125628140704,4,0,1,2,0.013333333333333334,0.5,0.11346444780635401,Luxury,6
