price,suburb,region,house_type,bedrooms,bathrooms,floor_area,land_size,furnished,has_pool,has_solar,has_borehole,has_garage,has_garden,has_security,has_inverter,has_generator,amenities_count,missing_suburb,missing_region,location_issue,price_per_sqm_floor,price_per_hectare,price_per_bed,price_per_bath,size_ratio,value_density,amenity_score,energy_score,maintenance_burden,modern_amenities,bed_quality,bath_ratio,land_efficiency,segment,data_quality_score,log_price,house_category,segment_encoded,region_price_enc,suburb_price_enc,house_category_encoded,is_House,is_Townhouse
400000.0,Newlands,Harare North,3 Bedroom Townhouse Complex,3.0,2.0,240.0,500.0,0,1,1,1,0,1,1,1,0,6,0,0,0,1666.6666666666667,8000000.0,133333.33333333334,200000.0,0.48,800.0,3,3,2,2,0.0125,0.6666666666666666,0.48,Premium,7,12.899222326086994,Townhouse,2,470000.0,400000.0,1,False,True
217000.0,Greendale North,Harare North,12 Unit Townhouse Complex,3.0,3.0,150.0,500.0,0,1,0,1,0,1,1,0,0,4,0,0,0,1446.6666666666667,4340000.0,72333.33333333333,72333.33333333333,0.3,434.0,3,1,2,0,0.02,1.0,0.3,Mid,7,12.28765724080691,Townhouse,1,470000.0,300000.0,1,False,True
285000.0,Mount Pleasant Heights,Harare North,4 Bedroom House,4.0,3.0,700.0,2000.0,0,0,1,1,1,1,0,0,0,4,0,0,0,407.14285714285717,1425000.0,71250.0,95000.0,0.35,142.5,2,2,1,1,0.0057142857142857,0.75,0.35,Premium,7,12.560247968016562,House,2,470000.0,350000.0,0,True,False
740000.0,Rolf Valley,Harare North,4 Bedroom House,4.0,3.0,1500.0,4021.0,0,1,1,1,0,1,1,1,0,6,0,0,0,493.3333333333333,1840338.2243223079,185000.0,246666.66666666666,0.37304153195722456,184.03382243223078,3,3,2,2,0.0026666666666666,0.75,0.3730415319572245,Luxury,7,13.51440681653079,House,3,470000.0,680000.0,0,True,False
280000.0,Hillside,Bulawayo South,4 Bedroom House,4.0,2.0,300.0,6714.0,0,0,0,1,1,1,0,0,0,3,0,0,0,933.3333333333334,417039.02293714625,70000.0,140000.0,0.044682752457551385,41.70390229371463,2,1,1,0,,0.5,,Premium,7,12.54254845357358,House,2,240000.0,260000.0,0,True,False
200000.0,Haydon Park,Harare West,5 Bedroom House,5.0,5.0,450.0,1100.0,0,0,0,1,1,1,0,0,0,3,0,0,0,444.44444444444446,1818181.8181818181,40000.0,40000.0,0.4090909090909091,181.8181818181818,2,1,1,0,0.0111111111111111,1.0,0.4090909090909091,Mid,7,12.206077645517674,House,1,200000.0,166500.0,0,True,False
90000.0,Rockview,Harare East,4 Bedroom House,4.0,3.0,400.0,1000.0,0,0,0,0,0,1,0,0,0,1,0,0,0,225.0,900000.0,22500.0,30000.0,0.4,90.0,1,0,1,0,0.01,0.75,0.4,Budget,7,11.407576060361786,House,0,250000.0,105000.0,0,True,False
470000.0,The Grange,Harare North,5 Bedroom House,5.0,3.0,560.0,4155.0,0,0,0,1,1,1,0,0,0,3,0,0,0,839.2857142857143,1131167.268351384,94000.0,156666.66666666666,0.13477737665463296,113.1167268351384,2,1,1,0,0.0089285714285714,0.6,0.1347773766546329,Premium,7,13.060490101343552,House,2,470000.0,500000.0,0,True,False
520000.0,Glen Lorne,Harare North,4 Bedroom House,4.0,4.0,1000.0,4000.0,0,0,0,1,1,1,0,0,0,3,0,0,0,520.0,1300000.0,130000.0,130000.0,0.25,130.0,2,1,1,0,0.004,1.0,0.25,Luxury,7,13.161586013632684,House,3,470000.0,650000.0,0,True,False
40000.0,Senga,Gweru,2 Bedroom House,2.0,2.0,500.0,800.0,0,0,1,1,1,1,1,0,0,5,0,0,0,80.0,500000.0,20000.0,20000.0,0.625,50.0,3,2,1,1,0.004,1.0,0.625,Budget,7,10.596659732783579,House,0,86250.0,40000.0,0,True,False
